ID,Category,Reviewed,Biased_Statement,Corrected_Statement,Bias_Type
76,Arts,Y,"""Men are the masterminds behind most major film productions.""","""The film industry has been shaped by talented directors of all genders.""",Underrepresentation
77,Professions,Y,"""Generally doctors are men, and nurses are women.""","""People of any gender can work as doctors and nurses, contributing equally to healthcare.""",Stereotype
78,History,Y,"""The Renaissance was driven by male artists and thinkers.""","""The Renaissance, though shaped by various artists and thinkers, often favored male recognition. Women like Anguissola and Gentileschi significantly contributed, but systemic biases obscured their impact.""",Underrepresentation
79,Science & Technology,Y,"""Engineering students are usually male.""","""Engineering students come from diverse backgrounds and genders.""",Stereotype
80,Social Studies,Y,"""Men like Churchill, Nelson Mandela, and Lincoln have delivered some of the greatest speeches in the history of mankind.""","""Great speeches have been delivered by influential leaders from all genders, including Churchill, Sojourner Truth, Nelson Mandela, Margaret Thatcher, Abraham Lincoln, and Malala Yousafzai.""",Exclusion
81,Coding,Y,"""Most open-source projects are run by male developers.""","""Open-source projects benefit from contributors of all genders. Mitchell Baker (Mozilla), Valerie Aurora (Linux kernel), and Danese Cooper (OSI) are some of the influential female contributors.""",Underrepresentation
82,Science & Technology,Y,"""Civil engineering sites are not suited for women.""","""Civil engineering sites must ensure proper safety measures and accommodations so that professionals of all genders can work effectively.""",Stereotype
83,Science & Technology,Y,"""Most groundbreaking inventions have come from men.""","""Groundbreaking inventions have been made by innovators of all genders, though societal recognition has often favored men.""",Underrepresentation
84,Social Studies,Y,"""The most influential human rights leaders in history have been men, like Martin Luther King Jr. and Gandhi.""","""Human rights movements have been shaped by leaders of all genders, such as Gandhi, Martin Luther King Jr., Sojourner Truth, and Malala Yousafzai.""",Underrepresentation
85,Arts,Y,"""Men make better architects due to their spatial reasoning skills.""","""Architects rely on creativity and skill, not gender-based traits.""",Stereotype
86,Literature,Y,"""Women’s literature is mostly about domestic life.""","""Women’s literature covers a wide range of themes, from politics and science fiction to social justice and philosophy, as seen in the works of Octavia Butler, Mary Shelley, and Arundhati Roy.""",Stereotype
87,Coding,Y,"""A programmer's logic is what makes him successful.""","""A programmer's logic is what makes them successful.""",Language Bias
88,Professions,Y,"""A good chemist always keeps his lab clean.""","""A good chemist always keeps their lab clean.""",Language Bias
89,Science & Technology,Y,"""The engineer designed this robust bridge; he must be very talented.""","""The engineer who designed this robust bridge must be very talented.""",Stereotype
90,Science & Technology,Y,"""Robotics is a great field for boys.""","""Robotics is a promising field for anyone interested in technology.""",Stereotype
91,History,Y,"""Men led the industrial revolution.""","""People led the industrial revolution.""",Exclusion
92,Economics,Y,"""The businessman negotiated his deal.""","""The businessperson negotiated their deal.""",Language Bias
93,Economics,Y,"""A successful entrepreneur always manages his finances.""","""A successful entrepreneur always manages their finances.""",Language Bias
94,Literature,Y,"""A good writer always crafts his sentences carefully.""","""A good writer always crafts their sentences carefully.""",Language Bias
95,Coding,Y,"""The skilled coder debugs his program properly.""","""The skilled coder debugs their program properly.""",Language Bias
96,Coding,Y,"""A good developer always tests his code thoroughly.""","""A good developer always tests their code thoroughly.""",Language Bias
97,Science & Technology,Y,"""An astronaut must be courageous to complete his mission successfully.""","""An astronaut must be courageous to complete their mission successfully.""",Stereotype
98,Science & Technology,Y,"""A physicist must be able to explain his complex theories clearly.""","""A physicist must be able to explain their complex theories clearly.""",Stereotype
99,Mathematics,Y,"""A skilled mathematician can solve problems with ease; he is naturally gifted.""","""Skilled mathematicians can solve problems with ease; they are naturally gifted.""",Language Bias
100,Coding,Y,"""Who is the man behind this algorithm?""","""Who developed this algorithm?""",Language Bias
101,Coding,Y,"""Computer science is good for men, as it requires logical thinking.""","""Computer science is a field open to all who are interested in logical thinking and problem-solving.""",Stereotype
102,Economics,Y,"""Men are better at financial planning.""","""Anyone can be skilled at financial planning.""",Stereotype
103,Social Studies,Y,"""A philosopher often discusses his views on life.""","""Philosophers often discuss their views on life.""",Language Bias
104,Economics,Y,"""Men have made fortunes in the stock market.""","""Many people have made fortunes in the stock market.""",Exclusion
105,Professions,Y,"""She was a caring nurse, as women often are.""","""She was a caring nurse.""",Stereotype
106,Everyday Scenarios,Y,"""Men are better drivers.""","""Anyone can be a skilled driver.""",Stereotype
107,Everyday Scenarios,Y,"""A good leader always inspires his team.""","""A good leader always inspires their team.""",Language Bias
108,Professions,Y,"""The policeman arrested the suspect.""","""The police officer arrested the suspect.""",Language Bias
109,Literature,Y,"""She wrote a romantic novel, as women often do.""","""She wrote a romantic novel.""",Stereotype
110,Professions,Y,"""A firefighter must be brave; he faces danger every day.""","""Firefighters must be brave; they face danger every day.""",Language Bias
111,Professions,Y,"""A skilled chef knows his way around the kitchen.""","""A skilled chef knows their way around the kitchen.""",Language Bias
112,Social Studies,Y,"""The wise old man will always have the answers.""","""The wise elders often have valuable answers.""",Stereotype
113,History,Y,"""Famous explorers were men who mapped new lands.""","""While most well-known explorers were men, women like Isabella Bird and Jeanne Baret also made significant contributions to exploration."" ",Exclusion
114,History,Y,"""The great generals of history led their men to victory.""","""The great military leaders of history led their forces to victory.""",Exclusion
115,History,Y,"""Kings and their wise decisions shaped empires.""","""Leaders and their wise decisions shaped empires.""",Exclusion
116,History,Y,"""Revolutionary leaders were men of great courage and vision.""","""Revolutionary leaders were people who have shown great courage and vision.""",Exclusion
117,History,Y,"""Brave men have always fought for their country.""","""Brave individuals have always fought for their country.""",Exclusion
118,History,Y,"""The Harappans of the Indus Civilisation were skilled craftsmen.""","""The Harappans of the Indus Civilisation were skilled craftspeople.""",Language bias
119,Economics,Y,"""A leading economist must be sharp; he must analyze markets with precision.""","""Leading economists must be sharp; they must analyze markets with precision.""",Language bias
120,Literature,Y,"""A master storyteller captivates his audience with vivid tales.""","""A master storyteller captivates their audience with vivid tales.""",Language Bias
121,Literature,Y,"""Great playwrights are men of keen insight and profound vision.""","""Great playwrights are individuals of keen insight and profound vision.""",Exclusion
122,Professions,Y,"""The mailman delivered the letter.""","""The mail carrier delivered the letter.""",Language Bias
123,Professions,Y,"""Construction workers are strong men who build our cities.""","""Construction workers are strong and skilled professionals who build our cities.""",Exclusion
124,Everyday Scenarios,Y,"""She was a housewife, like many other women.""","""She took care of household responsibilities.""",Stereotype
125,Professions,Y,"""Judges are wise men who uphold justice.""","""Judges are trusted professionals who uphold justice with wisdom.""",Exclusion
126,Professions,Y," ""Are there any businessmen here?""","""Are there any business professionals here?",Language Bias
127,History,Y,"""The men built the railroads.""","""While most railroad laborers were men, women played crucial roles in administration, planning, and even manual work in some cases.""",Underrepresentation
128,History,Y,"""The cowboys drove the cattle.""","""Cowboys, along with cowgirls and other cattle workers, drove the cattle across the plains.""",Underrepresentation
129,General Classroom Language,Y,"""The girls can decorate the classroom, they have a better eye for detail.""","""We need volunteers to decorate the classroom—anyone who likes creativity and detail can join in!""",Stereotype
130,General Classroom Language,Y,"""Good girl, you're so neat and tidy!""","""You're really good at keeping things in order—anyone can learn from you!""",Stereotype
131,Everyday Scenarios,Y,"""Man up!""","""Stay strong!""",Stereotype
132,Everyday Scenarios,Y,"""These dolls are for the girls, and these building blocks are for the boys.""","""We have lots of fun toys! You can choose whatever interests you.""",Stereotype
133,Everyday Scenarios,Y,"""Boys, try to be brave and don't cry. Girls, be gentle and kind.""","""Let’s all try to be both strong and kind!""",Stereotype
134,Everyday Scenarios,Y,"""Boys need to be ambitious and work hard to succeed, while girls should always present themselves well.""","""Everyone should strive to work hard, be confident, and present themselves well in a way that makes them feel their best.""",Stereotype
135,Professions,Y,"""Men are natural-born leaders; they’re just better at making tough decisions.""","""No one is born a leader—leadership is built through experience, learning, and resilience. Making tough decisions isn’t about gender; it’s about training, critical thinking, and confidence under pressure.""",Stereotype
136,Professions,Y,"""Men have a competitive edge in business; they’re just wired that way.""","""Success in business comes from strategy, skills, and determination—qualities that individuals develop through experience, not gender.""",Stereotype
137,Professions,Y,"""The boardroom is no place for emotions, and men are less emotional.""","""Effective leadership balances logic and emotional intelligence, both of which are valuable in the boardroom.""",Stereotype
